fips,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_warehouse_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,public_admin,other,year
5083,25469,37917,27243,34048,20670,50461,17012,30521,24934,29509,NA,25500,21250,2010
5085,28239,29652,38390,40255,21275,47783,40799,31345,34777,29033,8649,39393,20647,2010
5087,29231,30421,28807,45455,15948,28723,32031,22004,40880,23781,NA,26985,18300,2010
5089,24130,22872,26461,23281,20526,24815,52917,26528,25117,22300,10813,19792,6908,2010
5091,22317,29509,44721,45786,22213,35713,31226,23171,29929,26172,16438,34970,22910,2010
5093,25804,30078,32147,45395,16017,36528,25948,26455,47760,20111,38750,26571,20370,2010
5095,22232,28697,27047,26838,17407,25694,47692,33214,36833,30202,NA,23442,18036,2010
5097,54735,29511,23972,44375,20313,47083,14167,25221,NA,20500,NA,37679,9063,2010
5099,61553,21217,28385,23750,13462,39886,9107,29375,71156,19831,18750,32563,41111,2010
5101,18056,22857,24659,31000,18065,21953,32500,12460,14688,19629,4350,30156,16991,2010
5103,23750,28629,32927,31778,14064,47852,26979,18828,31607,22250,11393,30500,16719,2010
5105,9464,31857,27500,67768,12875,52253,14583,33838,30250,21469,14886,48009,14032,2010
5107,21377,27475,27408,29619,16907,41989,26324,26719,26833,23761,21390,33444,9551,2010
5109,37005,25625,26858,15938,11183,21204,28150,21328,19323,26719,18750,28281,15664,2010
5111,23276,24260,25942,35278,18036,39643,33587,23500,40341,24311,21750,30074,20278,2010
5113,22727,29321,27124,25637,14401,35958,4929,33214,25404,20129,20238,34097,16761,2010
5115,17357,26744,28476,30127,15005,54115,32455,23891,15625,21538,7271,32035,16626,2010
5117,30368,26275,31705,41875,21700,37361,16250,24183,21202,26410,17500,24063,13981,2010
5119,21582,27063,32235,35983,22430,39642,41109,36258,45415,34472,16105,40323,24593,2010
5121,32500,28207,26282,37279,20591,38380,36964,33125,25956,25771,8828,19231,7986,2010
5123,25345,24088,25751,26462,18582,34572,39063,16344,24946,26349,11750,35294,16518,2010
5125,15363,30144,40568,40338,26462,41349,40323,36243,48396,31665,20110,36496,25761,2010
5127,28021,32127,24732,39018,13586,22348,NA,31012,NA,22937,25192,42526,9208,2010
5129,50536,18333,31477,20469,16530,22697,21548,38333,45580,16318,NA,30943,11250,2010
5131,15632,25750,30975,30639,17391,45403,40613,32863,38801,29674,12385,35648,20805,2010
5133,19638,22292,20116,34083,22500,40917,19856,41000,16923,27382,15431,31576,21571,2010
5135,20000,28144,30052,17337,12661,32344,18750,30778,26797,19747,7386,21679,19722,2010
5137,15815,23355,30081,17670,15611,22243,50368,26769,22153,18500,24000,21515,14167,2010
5139,19561,30453,44860,45917,16658,35318,14694,28313,30917,30847,80417,30500,16989,2010
5141,15063,23646,21958,27308,17955,51429,51375,28125,24100,18560,6250,26563,31250,2010
5143,22065,29486,29529,34151,22914,38021,30374,30071,35030,26417,10378,36351,20170,2010
5145,17452,28041,32888,36105,22910,42575,29471,30833,32500,24380,12350,35241,21946,2010
5147,22380,31250,26401,32500,16780,20927,14886,26500,62794,17799,NA,19570,15521,2010
5149,23646,23750,22884,21125,14701,41433,42008,18906,11106,24349,37614,27200,15823,2010
6001,21449,40561,56407,44984,26022,46872,66158,53031,74137,41162,25036,65466,26961,2010
6003,81250,56375,33750,NA,4688,81607,NA,47188,47500,25865,24688,34760,22150,2010
6005,30017,42702,48417,46333,26707,50699,31500,31471,55729,34330,22120,63125,33750,2010
6007,30104,37134,33882,34970,20418,48535,33019,29885,38231,30005,15707,47757,21930,2010
6009,25881,48146,40778,51645,22105,46657,30869,31306,53005,37204,28782,61909,21533,2010
6011,23726,29238,31508,44773,21434,37139,14896,40129,25083,31585,21147,57663,19076,2010
6013,21584,45540,65798,56817,26582,53581,70023,60805,75975,43074,21209,75375,25843,2010
6015,22290,26851,29205,39231,13443,31599,44125,37917,31473,24631,27440,56436,10257,2010
6017,31713,45975,65435,52343,21839,54567,49306,48374,61727,40466,23142,71363,21505,2010
6019,14753,32439,31777,28905,20817,39521,40227,35672,37755,32464,20870,46978,22218,2010
6021,23457,34766,30604,24784,19381,38163,36346,30897,23245,26646,16711,55585,15618,2010
6023,29317,34982,32507,32487,18694,45557,31101,28861,36480,26220,20042,44716,18462,2010
6025,20769,31653,29262,31736,18321,40629,20603,26949,31406,22863,20051,51998,19414,2010
6027,36544,42823,36453,31556,21317,72333,26000,32000,42813,33607,21750,43944,19421,2010
6029,16048,33940,38093,32454,19922,41879,33599,36555,40648,31084,15634,56151,20723,2010
6031,20537,31943,32485,25613,17443,32070,23390,25217,40141,28757,21929,56179,23794,2010
6033,15315,32362,44155,48952,23833,50233,39716,27010,37737,30445,21185,45386,17331,2010
6035,60540,35513,46400,50484,17868,35000,50431,55071,32396,29238,17411,60174,17929,2010
6037,18218,29278,31553,34039,21817,38162,54474,43529,54221,34938,28668,54038,19879,2010
6039,18486,33198,33379,26966,22035,44949,36548,35307,52237,28317,21445,47468,19833,2010
6041,27188,42598,65833,72218,28189,53163,76851,82557,82267,51136,29917,75778,25407,2010
6043,38630,45438,52535,62727,27344,44526,33167,19955,44107,36643,22269,46618,19536,2010
6045,21942,34612,33232,36563,26004,36755,34583,29005,38569,30425,25556,42655,20404,2010
6047,20729,32010,26877,26851,20075,39810,25370,33911,36755,29588,11595,48042,18444,2010
6049,26736,32885,21375,42689,19073,42228,15577,32440,35391,27332,26750,44398,14000,2010
6051,19219,29439,52886,NA,16799,47234,19227,41023,41866,31663,10515,61600,53268,2010
6053,17005,36705,32846,30534,19791,41074,46143,42675,57599,36569,22182,58979,23057,2010
6055,24259,43145,39429,51567,31564,51875,39427,47254,60591,43966,20548,76611,25818,2010
6057,45735,37216,42108,47250,21401,50663,37350,41133,53048,37588,20137,50179,20243,2010
6059,19506,38121,45767,48354,25760,48719,53398,52561,63095,40765,21338,66118,21082,2010
6061,27727,47914,69912,51852,28277,52516,60759,52203,64015,44306,20398,63440,27124,2010
6063,33137,33578,42841,40067,15357,48750,40735,36111,51953,30707,15750,54028,26775,2010
6065,18949,36701,37602,37408,22116,44274,47233,41616,49757,35954,25087,62664,22195,2010
6067,22517,38683,42313,39860,21600,44864,47107,42677,53351,36643,21680,54563,25314,2010
6069,13609,43954,36078,36789,19958,56486,27325,46387,54821,38460,25568,51676,16168,2010
6071,25678,35845,35211,35449,22100,42323,43823,39269,46325,36144,21610,57664,22987,2010
6073,20975,37238,48696,43180,23978,46540,54052,43429,60282,36638,23863,56315,22473,2010
6075,24707,40096,54794,47584,31053,45409,70214,68056,76779,43980,31845,66319,25536,2010
6077,16647,42417,38747,34388,23103,46265,48549,40325,50763,34299,20870,55799,23053,2010
6079,22432,40668,37056,37264,17628,59212,41687,37185,45333,34603,17552,61001,21164,2010
6081,19232,42993,73556,48893,30832,50405,68899,60371,84420,45278,24651,67316,24382,2010
6083,17284,37541,48279,36349,20736,42364,40517,41250,58910,31401,21937,59514,21797,2010
6085,19980,40863,80070,51609,25992,47128,81903,51190,86737,41835,21623,65952,24507,2010
6087,15237,45695,56879,45727,22188,47604,58253,41031,62944,37128,17221,64127,18677,2010
6089,30000,36291,35643,40019,21365,40467,39238,35332,32407,29847,19869,49957,21131,2010
